name,address,website,phone_number,reviews_count,reviews_average
Gupta Dental Clinic And Periosurgery Hospital,"Rama Kripa complex, F-27, Kissan Marg, Tonk Road, Madhuvan Colony, Barkat Nagar, Tonk Phatak, Jaipur, Rajasthan 302015",drhlguptadentalclinic.com,094140 70737,,4.8
"Clove Dental Clinic - C Scheme, Jaipur","Bhagadiya Bhawan, Subhash Marg, above Sagar Ratna, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001",clovedental.in,011 6927 1083,,4.9
Jaipur Dental Hospital,"9, Gopinath Marg, Mirza Ismail Rd, Panch Batti, Near, New Colony, Jaipur, Rajasthan 302001",jaipurdentalhospital.com,0141 402 2770,,4.9
DNG Dental Clinic-Best | Dentist | Dental Implant | Braces | Root Canal | Treatment | Clinic | Hospital | Mansarovar |Jaipur,"VQ88+V6, 51/6, Shipra Path, opposite NEERJA MODI SCHOOL, Ward 27, Mansarovar Sector 5, Mansarovar, Jaipur, Rajasthan 302020",dngdental.com,096360 80006,,4.9
"Clove Dental Clinic - Malviya Nagar Girdhar Marg, Jaipur","Ground Floor, Vaibhav Enclave, Girdhar Marg, Ashok Vihar, Sector 11, Malviya Nagar, Jaipur, Rajasthan 302017",clovedental.in,011 3802 5678,,4.9
Marudhar Dental Centre,"2nd / 3rd Floor, Plot No.18, Main, Gautam Marg, near PSJ Jewellers, Shivraj Niketan Colony, Vaishali Nagar, Jaipur, Rajasthan 302021",marudhardentalclinic.com,096361 80333,,4.9
Sharda Dental Hospital & Aesthetic Centre,"93 S-7, Shipra Path, Mansarovar Sector 7, Sector 9, Mansarovar, Jaipur, Rajasthan 302020",shardadental.com,094143 40674,,4.7
Krishna Kripa Dental Clinic,"K K Tower, G-40, near Space Cinema, Bani Park, Jaipur, Rajasthan 302016",kkdentalclinic.com,081071 29712,,4.9
"Clove Dental Clinic - Vidhyadhar Nagar, Jaipur","Alankar Plaza, Sector 2 Rd, next to Cafe Coffee Day, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Rajasthan 302012",clovedental.in,011 3802 5678,,4.9
"Clove Dental Clinic - Pratap Nagar, Jaipur","Near D-Mart, Sector 8, Tonk Rd, Sanganer, Pratap Nagar, Jaipur, Rajasthan 302003",clovedental.in,011 3802 5678,,4.8
